epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,213.601,0.60237,0.3262,0.80164,0.99925,0.95954,0.98165,0.86825,0.55469,0.30576,0.79186,0.0014159,0.0014159,0.0014159
61,216.057,0.59057,0.33061,0.79292,1,0.96468,0.9836,0.86196,0.56425,0.31381,0.79403,0.001406,0.001406,0.001406
62,219.091,0.57434,0.32343,0.78989,0.99953,0.95954,0.97688,0.85688,0.57823,0.31281,0.79435,0.0013961,0.0013961,0.0013961
63,221.844,0.56381,0.31205,0.79421,1,0.96431,0.98285,0.87145,0.55562,0.29721,0.79258,0.0013862,0.0013862,0.0013862
64,224.596,0.5889,0.3172,0.79426,0.99949,0.95954,0.97713,0.86049,0.56331,0.30242,0.79178,0.0013763,0.0013763,0.0013763
65,226.93,0.57959,0.31341,0.79156,1,0.96507,0.98203,0.86192,0.57147,0.30092,0.79289,0.0013664,0.0013664,0.0013664
66,228.979,0.5753,0.31881,0.79519,1,0.9651,0.98327,0.8653,0.56234,0.30207,0.79336,0.0013565,0.0013565,0.0013565
67,231.199,0.57027,0.31374,0.79459,0.99952,0.95954,0.97864,0.86466,0.56042,0.3053,0.79136,0.0013466,0.0013466,0.0013466
68,233.957,0.55723,0.30957,0.78922,0.99954,0.95954,0.98281,0.86782,0.56509,0.30699,0.79398,0.0013367,0.0013367,0.0013367
69,236.76,0.54806,0.30163,0.79417,0.99943,0.95954,0.98158,0.87015,0.54449,0.28907,0.7902,0.0013268,0.0013268,0.0013268
70,239.226,0.55713,0.302,0.78918,0.99945,0.95954,0.97435,0.86311,0.54731,0.29273,0.79067,0.0013169,0.0013169,0.0013169
71,241.632,0.54062,0.29839,0.78666,0.99949,0.95954,0.98275,0.86894,0.55001,0.28667,0.78956,0.001307,0.001307,0.001307
72,243.71,0.54403,0.29957,0.79504,0.99951,0.95954,0.98426,0.87035,0.53838,0.29307,0.7904,0.0012971,0.0012971,0.0012971
73,246.304,0.54712,0.29938,0.7908,0.9996,0.95954,0.98091,0.87174,0.5451,0.29208,0.7907,0.0012872,0.0012872,0.0012872
74,248.991,0.55249,0.30117,0.79581,0.9995,0.95954,0.97637,0.85674,0.58102,0.30821,0.79112,0.0012773,0.0012773,0.0012773
75,251.844,0.56593,0.30685,0.7915,0.99921,0.95954,0.97299,0.86063,0.55667,0.30132,0.79033,0.0012674,0.0012674,0.0012674
